Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1,Guardians of the Galaxy,Action,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,James Gunn,Chris Pratt,2014,121,8.1,757074,333.13,76
2,Prometheus,Adventure,Following clues to the origin of mankind a team finds a structure on a distant moon but they soon realize they are not alone.,Ridley Scott,Noomi Rapace,2012,124,7,485820,126.46,65
3,Split,Horror,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,James McAvoy,2016,117,7.3,157606,138.12,62
4,Sing,Animation,In a city of humanoid animals a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.,Christophe Lourdelet,Matthew McConaughey,2016,108,7.2,60545,270.32,59
5,Suicide Squad,Action,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,Will Smith,2016,123,6.2,393727,325.02,40
6,The Great Wall,Action,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,Yimou Zhang,Matt Damon,2016,103,6.1,56036,45.13,42
7,La La Land,Comedy,A jazz pianist falls for an aspiring actress in Los Angeles.,Damien Chazelle,Ryan Gosling,2016,128,8.3,258682,151.06,93
8,Mindhorn,Comedy,A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn,Sean Foley,Essie Davis,2016,89,6.4,2490,0.5,71
9,The Lost City of Z,Action,A true-life drama centering on British explorer Col. Percival Fawcett who disappeared while searching for a mysterious city in the Amazon in the 1920s.,James Gray,Charlie Hunnam,2016,141,7.1,7188,8.01,78
10,Passengers,Adventure,A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result two passengers are awakened 90 years early.,Morten Tyldum,Jennifer Lawrence,2016,116,7,192177,100.01,41
11,Fantastic Beasts and Where to Find Them,Adventure,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,David Yates,Eddie Redmayne,2016,133,7.5,232072,234.02,66
12,Hidden Figures,Biography,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,Taraji P. Henson,2016,127,7.8,93103,169.27,74
13,Rogue One,Action,The Rebel Alliance makes a risky move to steal the plans for the Death Star setting up the epic saga to follow.,Gareth Edwards,Felicity Jones,2016,133,7.9,323118,532.17,65
14,Moana,Animation,In Ancient Polynesia when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island she answers the Ocean's call to seek out the Demigod to set things right.,Ron Clements,Auli'i Cravalho,2016,107,7.7,118151,248.75,81
15,Colossal,Action,Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul she gradually comes to the realization that she is somehow connected to this phenomenon.,Nacho Vigalondo,Anne Hathaway,2016,109,6.4,8612,2.87,70
16,The Secret Life of Pets,Animation,The quiet life of a terrier named Max is upended when his owner takes in Duke a stray whom Max instantly dislikes.,Chris Renaud,Louis C.K.,2016,87,6.6,120259,368.31,61
17,Hacksaw Ridge,Biography,WWII American Army Medic Desmond T. Doss who served during the Battle of Okinawa refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.,Mel Gibson,Andrew Garfield,2016,139,8.2,211760,67.12,71
18,Jason Bourne,Action,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Paul Greengrass,Matt Damon,2016,123,6.7,150823,162.16,58
19,Lion,Biography,A five-year-old Indian boy gets lost on the streets of Calcutta thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later he sets out to find his lost family.,Garth Davis,Dev Patel,2016,118,8.1,102061,51.69,69
20,Arrival,Drama,When twelve mysterious spacecraft appear around the world linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.,Denis Villeneuve,Amy Adams,2016,116,8,340798,100.5,81
21,Gold,Adventure,Kenny Wells a prospector desperate for a lucky break teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.,Stephen Gaghan,Matthew McConaughey,2016,120,6.7,19053,7.22,49
22,Manchester by the Sea,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Kenneth Lonergan,Casey Affleck,2016,137,7.9,134213,47.7,96
23,Hounds of Love,Crime,A cold-blooded predatory couple while cruising the streets in search of their next victim will stumble upon a 17-year-old high school girl who will be sedated abducted and chained in the strangers' guest room.,Ben Young,Emma Booth,2016,108,6.7,1115,0.5,72
24,Trolls,Animation,After the Bergens invade Troll Village Poppy the happiest Troll ever born and the curmudgeonly Branch set off on a journey to rescue her friends.,Walt Dohrn,Anna Kendrick,2016,92,6.5,38552,153.69,56
25,Independence Day: Resurgence,Action,Two decades after the first Independence Day invasion Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?,Roland Emmerich,Liam Hemsworth,2016,120,5.3,127553,103.14,32
26,Paris pieds nus,Comedy,Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue,Dominique Abel,Fiona Gordon,2016,83,6.8,222,0.5,
27,Bahubali: The Beginning,Action,In ancient India an adventurous and daring man becomes involved in a decades old feud between two warring people.,S.S. Rajamouli,Prabhas,2015,159,8.3,76193,6.5,
28,Dead Awake,Horror,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,Phillip Guzman,Jocelin Donahue,2016,99,4.7,523,0.01,
29,Bad Moms,Comedy,When three overworked and under-appreciated moms are pushed beyond their limits,Jon Lucas,Mila Kunis,2016,100,6.2,66540,113.08,60
30,Assassin's Creed,Action,When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin he discovers he is a descendant of the secret Assassins society.,Justin Kurzel,Michael Fassbender,2016,115,5.9,112813,54.65,36
31,Why Him?,Comedy,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,John Hamburg,Zoey Deutch,2016,111,6.3,48123,60.31,39
32,Nocturnal Animals,Drama,A wealthy art gallery owner is haunted by her ex-husband's novel a violent thriller she interprets as a symbolic revenge tale.,Tom Ford,Amy Adams,2016,116,7.5,126030,10.64,67
33,X-Men: Apocalypse,Action,After the re-emergence of the world's first mutant world-destroyer Apocalypse the X-Men must unite to defeat his extinction level plan.,Bryan Singer,James McAvoy,2016,144,7.1,275510,155.33,52
34,Deadpool,Action,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,Tim Miller,Ryan Reynolds,2016,108,8,627797,363.02,65
35,Resident Evil: The Final Chapter,Action,Alice returns to where the nightmare began: The Hive in Raccoon City where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.,Paul W.S. Anderson,Milla Jovovich,2016,107,5.6,46165,26.84,49
36,Captain America: Civil War,Action,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,Anthony Russo,Chris Evans,2016,147,7.9,411656,408.08,75
37,Interstellar,Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,Matthew McConaughey,2014,169,8.6,1047747,187.99,74
38,Doctor Strange,Action,While on a journey of physical and spiritual healing a brilliant neurosurgeon is drawn into the world of the mystic arts.,Scott Derrickson,Benedict Cumberbatch,2016,115,7.6,293732,232.6,72
39,The Magnificent Seven,Action,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,Antoine Fuqua,Denzel Washington,2016,132,6.9,122853,93.38,54
40,5- 25- 77,Comedy,Alienated hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois falling in love and becoming the first fan of the movie that changed everything.,Patrick Read Johnson,John Francis Daley,2007,113,7.1,241,0.5,
41,Sausage Party,Animation,A sausage strives to discover the truth about his existence.,Greg Tiernan,Seth Rogen,2016,89,6.3,120690,97.66,66
42,Moonlight,Drama,A chronicle of the childhood,Barry Jenkins,Mahershala Ali,2016,111,7.5,135095,27.85,99
43,Don't F--- in the Woods,Horror,A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods,Shawn Burkett,Brittany Blanton,2016,73,2.7,496,0.5,
44,The Founder,Biography,The story of Ray Kroc a salesman who turned two brothers' innovative fast food eatery McDonald's into one of the biggest restaurant businesses in the world with a combination of ambition persistence and ruthlessness.,John Lee Hancock,Michael Keaton,2016,115,7.2,37033,12.79,66
45,Lowriders,Drama,A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture,Ricardo de Montreuil,Gabriel Chavarria,2016,99,6.3,279,4.21,57
46,Pirates of the Caribbean: On Stranger Tides,Action,Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth only to discover that Blackbeard and his daughter are after it too.,Rob Marshall,Johnny Depp,2011,136,6.7,395025,241.06,45
47,Miss Sloane,Drama,In the high-stakes world of political power-brokers Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career she finds winning may come at too high a price.,John Madden,Jessica Chastain,2016,132,7.3,17818,3.44,64
48,Fallen,Adventure,A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student unaware that he is an angel and has loved her for thousands of years.,Scott Hicks,Hermione Corfield,2016,91,5.6,5103,0.5,
49,Star Trek Beyond,Action,The USS Enterprise crew explores the furthest reaches of uncharted space where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.,Justin Lin,Chris Pine,2016,122,7.1,164567,158.8,68
50,The Last Face,Drama,A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution,Sean Penn,Charlize Theron,2016,130,3.7,987,0.5,16
51,Star Wars: Episode VII - The Force Awakens,Action,Three decades after the defeat of the Galactic Empire a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them along with the help of the Resistance.,J.J. Abrams,Daisy Ridley,2015,136,8.1,661608,936.63,81
52,Underworld: Blood Wars,Action,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,Anna Foerster,Kate Beckinsale,2016,91,5.8,41362,30.35,23
53,Mother's Day,Comedy,Three generations come together in the week leading up to Mother's Day.,Garry Marshall,Jennifer Aniston,2016,118,5.6,20221,32.46,18
54,John Wick,Action,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,Chad Stahelski,Keanu Reeves,2014,101,7.2,321933,43,68
55,The Dark Knight,Action,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.,Christopher Nolan,Christian Bale,2008,152,9,1791916,533.32,82
56,Silence,Adventure,In the 17th century two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor who is rumored to have committed apostasy and to propagate Catholicism.,Martin Scorsese,Andrew Garfield,2016,161,7.3,49190,7.08,79
57,Don't Breathe,Crime,Hoping to walk away with a massive fortune a trio of thieves break into the house of a blind man who isn't as helpless as he seems.,Fede Alvarez,Stephen Lang,2016,88,7.2,121103,89.21,71
58,Me Before You,Drama,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,Thea Sharrock,Emilia Clarke,2016,106,7.4,113322,56.23,51
59,Their Finest,Comedy,A former secretary newly appointed as a scriptwriter for propaganda films joins the cast and crew of a major production while the Blitz rages around them.,Lone Scherfig,Gemma Arterton,2016,117,7,3739,3.18,76
60,Sully,Biography,The story of Chesley Sullenberger an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.,Clint Eastwood,Tom Hanks,2016,96,7.5,137608,125.07,74
61,Batman v Superman: Dawn of Justice,Action,Fearing that the actions of Superman are left unchecked Batman takes on the Man of Steel while the world wrestles with what kind of a hero it really needs.,Zack Snyder,Ben Affleck,2016,151,6.7,472307,330.25,44
62,The Autopsy of Jane Doe,Horror,A father and son both coroners are pulled into a complex mystery while attempting to identify the body of a young woman who was apparently harboring dark secrets.,André Øvredal,Brian Cox,2016,86,6.8,35870,0.5,65
63,The Girl on the Train,Crime,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,Tate Taylor,Emily Blunt,2016,112,6.5,102177,75.31,48
64,Fifty Shades of Grey,Drama,Literature student Anastasia Steele's life changes forever when she meets handsome yet tormented billionaire Christian Grey.,Sam Taylor-Johnson,Dakota Johnson,2015,125,4.1,244474,166.15,46
65,The Prestige,Drama,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,Christopher Nolan,Christian Bale,2006,130,8.5,913152,53.08,66
66,Kingsman: The Secret Service,Action,A spy organization recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,Matthew Vaughn,Colin Firth,2014,129,7.7,440209,128.25,58
67,Patriots Day,Drama,The story of the 2013 Boston Marathon bombing and the aftermath which includes the city-wide manhunt to find the terrorists responsible.,Peter Berg,Mark Wahlberg,2016,133,7.4,39784,31.86,69
68,Mad Max: Fury Road,Action,A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners a psychotic worshipper and a drifter named Max.,George Miller,Tom Hardy,2015,120,8.1,632842,153.63,90
69,Wakefield,Drama,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,Robin Swicord,Bryan Cranston,2016,106,7.5,291,0.01,61
70,Deepwater Horizon,Action,A dramatization of the April 2010 disaster when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.,Peter Berg,Mark Wahlberg,2016,107,7.2,89849,61.28,68
71,The Promise,Drama,Set during the last days of the Ottoman Empire The Promise follows a love triangle between Michael a brilliant medical student the beautiful and sophisticated Ana and Chris - a renowned American journalist based in Paris.,Terry George,Oscar Isaac,2016,133,5.9,149791,0.5,49
72,Allied,Action,In 1942 a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London their relationship is tested by the pressures of war.,Robert Zemeckis,Brad Pitt,2016,124,7.1,78079,40.07,60
73,A Monster Calls,Drama,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,J.A. Bayona,Lewis MacDougall,2016,108,7.5,39134,3.73,76
74,Collateral Beauty,Drama,Retreating from life after a tragedy a man questions the universe by writing to Love Time and Death. Receiving unexpected answers he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.,David Frankel,Will Smith,2016,97,6.8,43977,30.98,23
75,Zootopia,Animation,In a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.,Byron Howard,Ginnifer Goodwin,2016,108,8.1,296853,341.26,78
76,Pirates of the Caribbean: At World's End,Action,Captain Barbossa Will Turner and Elizabeth Swann must sail off the edge of the map navigate treachery and betrayal find Jack Sparrow and make their final alliances for one last decisive battle.,Gore Verbinski,Johnny Depp,2007,169,7.1,498821,309.4,50
77,The Avengers,Action,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,Robert Downey Jr.,2012,143,8.1,1045588,623.28,69
78,Inglourious Basterds,Adventure,In Nazi-occupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.,Quentin Tarantino,Brad Pitt,2009,153,8.3,959065,120.52,69
79,Pirates of the Caribbean: Dead Man's Chest,Action,Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service as other friends and foes seek the heart for their own agenda as well.,Gore Verbinski,Johnny Depp,2006,151,7.3,552027,423.03,53
80,Ghostbusters,Action,Following a ghost invasion of Manhattan paranormal enthusiasts Erin Gilbert and Abby Yates nuclear engineer Jillian Holtzmann and subway worker Patty Tolan band together to stop the otherworldly threat.,Paul Feig,Melissa McCarthy,2016,116,5.3,147717,128.34,60
81,Inception,Action,A thief who steals corporate secrets through use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,Christopher Nolan,Leonardo DiCaprio,2010,148,8.8,1583625,292.57,74
82,Captain Fantastic,Comedy,In the forests of the Pacific Northwest a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world challenging his idea of what it means to be a parent.,Matt Ross,Viggo Mortensen,2016,118,7.9,105081,5.88,72
83,The Wolf of Wall Street,Biography,Based on the true story of Jordan Belfort from his rise to a wealthy stock-broker living the high life to his fall involving crime corruption and the federal government.,Martin Scorsese,Leonardo DiCaprio,2013,180,8.2,865134,116.87,75
84,Gone Girl,Crime,With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.,David Fincher,Ben Affleck,2014,149,8.1,636243,167.74,79
85,Furious Seven,Action,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,James Wan,Vin Diesel,2015,137,7.2,301249,350.03,67
86,Jurassic World,Action,A new theme park built on the original site of Jurassic Park creates a genetically modified hybrid dinosaur which escapes containment and goes on a killing spree.,Colin Trevorrow,Chris Pratt,2015,124,7,455169,652.18,59
87,Live by Night,Crime,A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era facing off against the competition and the Ku Klux Klan.,Ben Affleck,Ben Affleck,2016,129,6.4,27869,10.38,49
88,Avatar,Action,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,Sam Worthington,2009,162,7.8,935408,760.51,83
89,The Hateful Eight,Crime,In the dead of a Wyoming winter a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.,Quentin Tarantino,Samuel L. Jackson,2015,187,7.8,341170,54.12,68
90,The Accountant,Action,As a math savant uncooks the books for a new client the Treasury Department closes in on his activities and the body count starts to rise.,Gavin O'Connor,Ben Affleck,2016,128,7.4,162122,86.2,51
91,Prisoners,Crime,When Keller Dover's daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.,Denis Villeneuve,Hugh Jackman,2013,153,8.1,431185,60.96,74
92,Warcraft,Action,As an Orc horde invades the planet Azeroth using a magic portal a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.,Duncan Jones,Travis Fimmel,2016,123,7,187547,47.17,32
93,The Help,Drama,An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work,Tate Taylor,Emma Stone,2011,146,8.1,342429,169.71,62
94,War Dogs,Comedy,Based on the true story of two young men David Packouz and Efraim Diveroli who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.,Todd Phillips,Jonah Hill,2016,114,7.1,106463,43.02,57
95,Avengers: Age of Ultron,Action,When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.,Joss Whedon,Robert Downey Jr.,2015,141,7.4,516895,458.99,66
96,The Nice Guys,Action,In 1970s Los Angeles a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.,Shane Black,Russell Crowe,2016,116,7.4,175067,36.25,70
97,Kimi no na wa,Animation,Two strangers find themselves linked in a bizarre way. When a connection forms will distance be the only thing to keep them apart?,Makoto Shinkai,Ryûnosuke Kamiki,2016,106,8.6,34110,4.68,79
98,The Void,Horror,Shortly after delivering a patient to an understaffed hospital a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.,Jeremy Gillespie,Aaron Poole,2016,90,5.8,9247,0.15,62
99,Personal Shopper,Drama,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,Olivier Assayas,Kristen Stewart,2016,105,6.3,10181,1.29,77
100,The Departed,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,Leonardo DiCaprio,2006,151,8.5,937414,132.37,85
101,Legend,Biography,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,Brian Helgeland,Tom Hardy,2015,132,7,108836,1.87,55
102,Thor,Action,The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth) where he soon becomes one of their finest defenders.,Kenneth Branagh,Chris Hemsworth,2011,115,7,570814,181.02,57
103,The Martian,Adventure,An astronaut becomes stranded on Mars after his team assume him dead and must rely on his ingenuity to find a way to signal to Earth that he is alive.,Ridley Scott,Matt Damon,2015,144,8,556097,228.43,80
104,Contratiempo,Crime,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.,Oriol Paulo,Mario Casas,2016,106,7.9,7204,0.5,
105,The Man from U.N.C.L.E.,Action,In the early 1960s CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization which is working to proliferate nuclear weapons.,Guy Ritchie,Henry Cavill,2015,116,7.3,202973,45.43,56
106,Hell or High Water,Crime,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,Chris Pine,2016,102,7.7,115546,26.86,88
107,The Comedian,Comedy,A look at the life of an aging insult comic named Jack Burke.,Taylor Hackford,Robert De Niro,2016,120,5.4,1954,1.66,40
108,The Legend of Tarzan,Action,Tarzan having acclimated to life in London is called back to his former home in the jungle to investigate the activities at a mining encampment.,David Yates,Alexander Skarsgård,2016,110,6.3,117590,126.59,44
109,All We Had,Drama,A mother struggles to make a better life for her daughter.,Katie Holmes,Eve Lindley,2016,105,5.8,1004,0.5,48
110,Ex Machina,Drama,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,Alex Garland,Alicia Vikander,2014,108,7.7,339797,25.44,78
111,The Belko Experiment,Action,In a twisted social experiment 80 Americans are locked in their high-rise corporate office in Bogotá Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.,Greg McLean,John Gallagher Jr.,2016,89,6.3,3712,10.16,44
112,12 Years a Slave,Biography,In the antebellum United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery.,Steve McQueen,Chiwetel Ejiofor,2013,134,8.1,486338,56.67,96
113,The Bad Batch,Romance,A dystopian love story in a Texas wasteland and set in a community of cannibals.,Ana Lily Amirpour,Keanu Reeves,2016,118,6.1,512,0.5,65
114,300,Action,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,Gerard Butler,2006,117,7.7,637104,210.59,52
115,Harry Potter and the Deathly Hallows: Part 2,Adventure,Harry Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.,David Yates,Daniel Radcliffe,2011,130,8.1,590595,380.96,87
116,Office Christmas Party,Comedy,When his uptight CEO sister threatens to shut down his branch,Josh Gordon,Jason Bateman,2016,105,5.8,30761,54.73,42
117,The Neon Demon,Horror,When aspiring model Jesse moves to Los Angeles her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.,Nicolas Winding Refn,Elle Fanning,2016,118,6.2,50359,1.33,51
118,Dangal,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,Aamir Khan,2016,161,8.8,48969,11.15,
119,10 Cloverfield Lane,Drama,After getting in a car accident a woman is held in a shelter with two men who claim the outside world is affected by a widespread chemical attack.,Dan Trachtenberg,John Goodman,2016,104,7.2,192968,71.9,76
120,Finding Dory,Animation,The friendly but forgetful blue tang fish Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,Andrew Stanton,Ellen DeGeneres,2016,97,7.4,157026,486.29,77
121,Miss Peregrine's Home for Peculiar Children,Adventure,When Jacob discovers clues to a mystery that stretches across time he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.,Tim Burton,Eva Green,2016,127,6.7,101058,87.24,57
122,Divergent,Adventure,In a world divided by factions based on virtues Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.,Neil Burger,Shailene Woodley,2014,139,6.7,362093,150.83,48
123,Mike and Dave Need Wedding Dates,Adventure,Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway the boys instead find themselves out-hustled by an uncontrollable duo.,Jake Szymanski,Zac Efron,2016,98,6,53183,46.01,51
124,Boyka: Undisputed IV,Action,In the fourth installment of the fighting franchise,Todor Chapkanov,Scott Adkins,2016,86,7.4,10428,0.5,
125,The Dark Knight Rises,Action,Eight years after the Joker's reign of anarchy the Dark Knight with the help of the enigmatic Selina is forced from his imposed exile to save Gotham City now on the edge of total annihilation from the brutal guerrilla terrorist Bane.,Christopher Nolan,Christian Bale,2012,164,8.5,1222645,448.13,78
126,The Jungle Book,Adventure,After a threat from the tiger Shere Khan forces him to flee the jungle a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free spirited bear Baloo.,Jon Favreau,Neel Sethi,2016,106,7.5,198243,364,77
127,Transformers: Age of Extinction,Action,Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly Optimus Prime and his remaining gang turn to a mechanic his daughter and her back street racing boyfriend for help.,Michael Bay,Mark Wahlberg,2014,165,5.7,255483,245.43,32
128,Nerve,Adventure,A high school senior finds herself immersed in an online game of truth or dare where her every move starts to become manipulated by an anonymous community of ""watchers."",Henry Joost,Emma Roberts,2016,96,6.6,69651,38.56,58
129,Mamma Mia!,Comedy,The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.,Phyllida Lloyd,Meryl Streep,2008,108,6.4,153481,143.7,51
130,The Revenant,Adventure,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro González Iñárritu,Leonardo DiCaprio,2015,156,8,499424,183.64,76
131,Fences,Drama,A working-class African-American father tries to raise his family in the 1950s,Denzel Washington,Denzel Washington,2016,139,7.3,50953,57.64,79
132,Into the Woods,Adventure,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,Rob Marshall,Anna Kendrick,2014,125,6,109756,128,69
133,The Shallows,Drama,A mere 200 yards from shore surfer Nancy is attacked by a great white shark with her short journey to safety becoming the ultimate contest of wills.,Jaume Collet-Serra,Blake Lively,2016,86,6.4,78328,55.12,59
134,Whiplash,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Miles Teller,2014,107,8.5,477276,13.09,88
135,Furious 6,Action,Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend Letty.,Justin Lin,Vin Diesel,2013,130,7.1,318051,238.67,61
136,The Place Beyond the Pines,Crime,A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.,Derek Cianfrance,Ryan Gosling,2012,140,7.3,200090,21.38,68
137,No Country for Old Men,Crime,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,Tommy Lee Jones,2007,122,8.1,660286,74.27,91
138,The Great Gatsby,Drama,A writer and wall street trader Nick finds himself drawn to the past and lifestyle of his millionaire neighbor Jay Gatsby.,Baz Luhrmann,Leonardo DiCaprio,2013,143,7.3,386102,144.81,55
139,Shutter Island,Mystery,In 1954 a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.,Martin Scorsese,Leonardo DiCaprio,2010,138,8.1,855604,127.97,63
