Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
504,Youth,Comedy,A retired orchestra conductor is on holiday with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.,Paolo Sorrentino,Michael Caine,2015,124,7.3,52636,2.7,64
505,Mr. Nobody,Drama,A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose anything is possible.,Jaco Van Dormael,Jared Leto,2009,141,7.9,166872,0.5,63
506,City of Tiny Lights,Crime,In the teeming multicultural metropolis of modern-day London a seemingly straightforward missing-person case launches a down-at-heel private eye into a dangerous world of religious fanaticism and political intrigue.,Pete Travis,Riz Ahmed,2016,110,5.7,291,0.5,54
507,Savages,Crime,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,Oliver Stone,Aaron Taylor-Johnson,2012,131,6.5,107960,47.31,59
508,(500) Days of Summer,Comedy,An offbeat romantic comedy about a woman who doesn't believe true love exists and the young man who falls for her.,Marc Webb,Zooey Deschanel,2009,95,7.7,398972,32.39,76
509,Movie 43,Comedy,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,Elizabeth Banks,Emma Stone,2013,94,4.3,83625,8.83,18
510,Gravity,Drama,Two astronauts work together to survive after an accident which leaves them alone in space.,Alfonso Cuarón,Sandra Bullock,2013,91,7.8,622089,274.08,96
511,The Boy in the Striped Pyjamas,Drama,Set during WWII a story seen through the innocent eyes of Bruno the eight-year-old son of the commandant at a German concentration camp whose forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.,Mark Herman,Asa Butterfield,2008,94,7.8,144614,9.03,55
512,Shooter,Action,A marksman living in exile is coaxed back into action after learning of a plot to kill the President. Ultimately double-crossed and framed for the attempt he goes on the run to find the real killer and the reason he was set up.,Antoine Fuqua,Mark Wahlberg,2007,124,7.2,267820,46.98,53
513,The Happening,Sci-Fi,A science teacher his wife and a young girl struggle to survive a plague that causes those infected to commit suicide.,M. Night Shyamalan,Mark Wahlberg,2008,91,5,170897,64.51,34
514,Bone Tomahawk,Adventure,Four men set out in the Wild West to rescue a group of captives from cannibalistic cave dwellers.,S. Craig Zahler,Kurt Russell,2015,132,7.1,47289,66.01,72
