Name,Sport,Team,Country,Endorsement_Earnings,FB_Followers,Instagram_Followers,Twitter_Followers
Mario Gotze,Soccer,Borussia Dortmund,Germany,2.70,10.50,8.20,3.60
Robert Lewandowski,Soccer,Bayern Munich,Poland,2.50,9.10,8.50,0.75
Marco Reus,Soccer,Borussia Dortmund,Germany,1.80,13.50,5.20,2.80
Thomas Muller,Soccer,Bayern Munich,Germany,3.20,9.30,3.80,3.20
Gabriel Jesus,Soccer,Manchester City,Brazil,6.20,0.05,2.30,0.14
Manuel Neuer,Soccer,Bayern Munich,Germany,2.20,9.00,6.00,3.80
Mohamed Salah,Soccer,Roma,Egypt,5.00,6.70,3.90,2.20
Ning Zetao,Swimming,N/A,China,1.50,0.00,0.00,0.00
Ryan Lochte,Swimming,N/A,USA,0.80,0.63,0.97,1.20
Ma Long,Table Tennis,N/A,China,0.00,0.00,0.00,0.00
Roger Federer,Tennis,N/A,Switzerland,60.00,14.20,2.80,6.70
Rafael Nadal,Tennis,N/A,Spain,32.00,12.20,2.60,12.00
Novak Djokovic,Tennis,N/A,Serbia,34.00,7.00,3.10,7.00
Serena Williams,Tennis,N/A,USA,20.00,5.10,5.30,7.90
Kei Nishikori,Tennis,N/A,Japan,30.00,0.67,0.23,0.75
Maria Sharapova,Tennis,N/A,Russia,15.00,14.90,2.30,5.20
Andy Murray,Tennis,N/A,Scotland,15.00,3.70,1.10,3.70
Stan Wawrinka,Tennis,N/A,Switzerland,15.00,0.73,0.67,1.10
Caroline Wozniacki,Tennis,N/A,Denmark,7.00,1.50,1.00,1.90
Eugenie Bouchard,Tennis,N/A,Canada,5.50,1.50,1.40,1.20
Usain Bolt,Track and Field,N/A,Jamaica,30.00,19.00,6.40,4.60
